[MON] S000   3440.120 MB/s output   3440.120 MB/s [null] q    989 t   1007 w   1011 b      1 p      0 policy [[0][0]=    1 [1][0]=    1]
[MON] S000   3510.956 MB/s output   3510.956 MB/s [null] q    993 t   1007 w   1011 b      1 p      0 policy [[0][0]=    0 [1][0]= 6595]
[MON] S000   3033.966 MB/s output   3033.966 MB/s [null] q    997 t   1017 w   1021 b      1 p      0 policy [[0][0]=    0 [1][0]= 3499]
[MON] S000   3093.906 MB/s output   3093.906 MB/s [null] q    999 t   1017 w   1021 b      1 p      0 policy [[0][0]=    0 [1][0]= 3040]
[MON] S000   3519.481 MB/s output   3519.481 MB/s [null] q   1000 t   1017 w   1021 b      1 p      0 policy [[0][0]=    0 [1][0]= 3094]
[MON] S000   3525.948 MB/s output   3525.948 MB/s [null] q    993 t   1017 w   1021 b      1 p      0 policy [[0][0]=    0 [1][0]= 3518]
[MON] S000   3527.000 MB/s output   3527.000 MB/s [null] q    997 t   1017 w   1021 b      1 p      0 policy [[0][0]=    0 [1][0]= 3531]
[MON] S000   3517.483 MB/s output   3517.483 MB/s [null] q    995 t   1018 w   1022 b      1 p      0 policy [[0][0]=    0 [1][0]= 3522]
[MON] S000   3517.964 MB/s output   3517.964 MB/s [null] q    987 t   1018 w   1022 b      1 p      0 policy [[0][0]=    0 [1][0]= 3518]
[MON] S000   3523.952 MB/s output   3523.952 MB/s [null] q    996 t   1018 w   1022 b      1 p      0 policy [[0][0]=    0 [1][0]= 3522]
[MON] S000   2971.029 MB/s output   2971.029 MB/s [null] q    998 t   1018 w   1022 b      1 p      0 policy [[0][0]=    0 [1][0]= 3523]
[MON] S000   3147.852 MB/s output   3147.852 MB/s [null] q    999 t   1018 w   1022 b      1 p      0 policy [[0][0]=    0 [1][0]= 2968]
[MON] S000   3534.466 MB/s output   3534.466 MB/s [null] q    997 t   1018 w   1022 b      1 p      0 policy [[0][0]=    0 [1][0]= 3146]
[MON] S000   3538.462 MB/s output   3538.462 MB/s [null] q    991 t   1018 w   1022 b      1 p      0 policy [[0][0]=    0 [1][0]= 3535]
[MON] S000   3536.464 MB/s output   3536.464 MB/s [null] q   1002 t   1018 w   1022 b      1 p      0 policy [[0][0]=    0 [1][0]= 3539]
[MON] S000   3524.476 MB/s output   3524.476 MB/s [null] q    995 t   1018 w   1022 b      1 p      0 policy [[0][0]=    0 [1][0]= 3537]
[MON] S000   3522.478 MB/s output   3522.478 MB/s [null] q    988 t   1018 w   1022 b      1 p      0 policy [[0][0]=    0 [1][0]= 3525]
[MON] S000   3538.462 MB/s output   3538.462 MB/s [null] q    999 t   1018 w   1022 b      1 p      0 policy [[0][0]=    0 [1][0]= 3523]
[MON] S000   3525.475 MB/s output   3525.475 MB/s [null] q    990 t   1018 w   1022 b      1 p      0 policy [[0][0]=    0 [1][0]= 3538]
[MON] S000   3525.475 MB/s output   3525.475 MB/s [null] q    996 t   1018 w   1022 b      1 p      0 policy [[0][0]=    0 [1][0]= 3524]
[MON] S000   3530.470 MB/s output   3530.470 MB/s [null] q    999 t   1018 w   1022 b      1 p      0 policy [[0][0]=    0 [1][0]= 3526]
[MON] S000   3530.470 MB/s output   3530.470 MB/s [null] q   1000 t   1018 w   1022 b      1 p      0 policy [[0][0]=    0 [1][0]= 3529]
[MON] S000   3535.465 MB/s output   3535.465 MB/s [null] q    997 t   1018 w   1022 b      1 p      0 policy [[0][0]=    0 [1][0]= 3530]
[MON] S000   3538.462 MB/s output   3538.462 MB/s [null] q    992 t   1018 w   1022 b      1 p      0 policy [[0][0]=    0 [1][0]= 3535]
[MON] S000   3450.549 MB/s output   3450.549 MB/s [null] q    994 t   1018 w   1022 b      1 p      0 policy [[0][0]=    0 [1][0]= 3537]
[MON] S000   2825.175 MB/s output   2825.175 MB/s [null] q    998 t   1018 w   1022 b      1 p      0 policy [[0][0]=    0 [1][0]= 3451]
[MON] S000   3383.000 MB/s output   3383.000 MB/s [null] q    991 t   1018 w   1022 b      1 p      0 policy [[0][0]=    0 [1][0]= 2828]
[MON] S000   3538.462 MB/s output   3538.462 MB/s [null] q   1001 t   1018 w   1022 b      1 p      0 policy [[0][0]=    0 [1][0]= 3379]
[MON] S000   3537.463 MB/s output   3537.463 MB/s [null] q    996 t   1018 w   1022 b      1 p      0 policy [[0][0]=    0 [1][0]= 3537]
[MON] S000   3533.000 MB/s output   3533.000 MB/s [null] q   1000 t   1018 w   1022 b      1 p      0 policy [[0][0]=    0 [1][0]= 3541]
[MON] S000   3533.467 MB/s output   3533.467 MB/s [null] q    998 t   1018 w   1022 b      1 p      0 policy [[0][0]=    0 [1][0]= 3528]
[MON] S000   3539.461 MB/s output   3539.461 MB/s [null] q    991 t   1018 w   1022 b      1 p      0 policy [[0][0]=    0 [1][0]= 3538]
[MON] S000   3532.000 MB/s output   3532.000 MB/s [null] q    994 t   1018 w   1022 b      1 p      0 policy [[0][0]=    0 [1][0]= 3540]
[MON] S000   3532.468 MB/s output   3532.468 MB/s [null] q    995 t   1018 w   1022 b      1 p      0 policy [[0][0]=    0 [1][0]= 3528]
[MON] S000   3534.466 MB/s output   3534.466 MB/s [null] q    993 t   1018 w   1022 b      1 p      0 policy [[0][0]=    0 [1][0]= 3532]
[MON] S000   3539.461 MB/s output   3539.461 MB/s [null] q   1002 t   1018 w   1022 b      1 p      0 policy [[0][0]=    0 [1][0]= 3534]
[MON] S000   3532.000 MB/s output   3532.000 MB/s [null] q    991 t   1018 w   1022 b      1 p      0 policy [[0][0]=    0 [1][0]= 3542]
