[MONITOR] (0) t:  2562.000 MB/s  l: 31111.203 us   (avg) t:  2562.000 MB/s
[MONITOR] (0) t:  3080.000 MB/s  l: 29024.787 us   (avg) t:  3080.000 MB/s
[MONITOR] (0) t:  3080.000 MB/s  l: 25341.123 us   (avg) t:  3080.000 MB/s
[MONITOR] (0) t:  3178.000 MB/s  l: 24402.740 us   (avg) t:  3178.000 MB/s
[MONITOR] (0) t:  3178.000 MB/s  l: 24439.537 us   (avg) t:  3178.000 MB/s
[MONITOR] (0) t:  3150.000 MB/s  l: 24512.689 us   (avg) t:  3150.000 MB/s
[MONITOR] (0) t:  3094.000 MB/s  l: 25154.471 us   (avg) t:  3094.000 MB/s
[MONITOR] (0) t:  3164.000 MB/s  l: 24484.451 us   (avg) t:  3164.000 MB/s
[MONITOR] (0) t:  3192.000 MB/s  l: 24389.863 us   (avg) t:  3192.000 MB/s
[MONITOR] (0) t:  3080.000 MB/s  l: 25060.990 us   (avg) t:  3080.000 MB/s
[MONITOR] (0) t:  3164.000 MB/s  l: 24365.088 us   (avg) t:  3164.000 MB/s
[MONITOR] (0) t:  3164.000 MB/s  l: 24453.633 us   (avg) t:  3164.000 MB/s
[MONITOR] (0) t:  3150.000 MB/s  l: 24426.729 us   (avg) t:  3150.000 MB/s
[MONITOR] (0) t:  3164.000 MB/s  l: 24666.332 us   (avg) t:  3164.000 MB/s
[MONITOR] (0) t:  3150.000 MB/s  l: 24464.844 us   (avg) t:  3150.000 MB/s
[MONITOR] (0) t:  3164.000 MB/s  l: 24795.479 us   (avg) t:  3164.000 MB/s
[MONITOR] (0) t:  3164.000 MB/s  l: 24695.664 us   (avg) t:  3164.000 MB/s
[MONITOR] (0) t:  3136.000 MB/s  l: 26993.885 us   (avg) t:  3136.000 MB/s
[MONITOR] (0) t:  3248.000 MB/s  l: 27475.703 us   (avg) t:  3248.000 MB/s
[MONITOR] (0) t:  3220.000 MB/s  l: 28009.270 us   (avg) t:  3220.000 MB/s
[MONITOR] (0) t:  3234.000 MB/s  l: 26549.732 us   (avg) t:  3234.000 MB/s
[MONITOR] (0) t:  3234.000 MB/s  l: 27083.246 us   (avg) t:  3234.000 MB/s
[MONITOR] (0) t:  3220.000 MB/s  l: 28741.588 us   (avg) t:  3220.000 MB/s
[MONITOR] (0) t:  3556.000 MB/s  l: 24682.697 us   (avg) t:  3556.000 MB/s
[MONITOR] (0) t:  3206.000 MB/s  l: 27025.764 us   (avg) t:  3206.000 MB/s
[MONITOR] (0) t:  3220.000 MB/s  l: 27227.139 us   (avg) t:  3220.000 MB/s
[MONITOR] (0) t:  3234.000 MB/s  l: 26963.078 us   (avg) t:  3234.000 MB/s
[MONITOR] (0) t:  3248.000 MB/s  l: 26550.486 us   (avg) t:  3248.000 MB/s
[MONITOR] (0) t:  3262.000 MB/s  l: 26395.297 us   (avg) t:  3262.000 MB/s
[MONITOR] (0) t:  3262.000 MB/s  l: 26673.309 us   (avg) t:  3262.000 MB/s
[MONITOR] (0) t:  3262.000 MB/s  l: 27138.975 us   (avg) t:  3262.000 MB/s
[MONITOR] (0) t:  3262.000 MB/s  l: 27020.309 us   (avg) t:  3262.000 MB/s
[MONITOR] (0) t:  3192.000 MB/s  l: 27692.162 us   (avg) t:  3192.000 MB/s
[MONITOR] (0) t:  3164.000 MB/s  l: 28049.420 us   (avg) t:  3164.000 MB/s
[MONITOR] (0) t:  3290.000 MB/s  l: 27655.609 us   (avg) t:  3290.000 MB/s
[MONITOR] (0) t:  3262.000 MB/s  l: 27887.811 us   (avg) t:  3262.000 MB/s
[MONITOR] (0) t:  3206.000 MB/s  l: 28105.258 us   (avg) t:  3206.000 MB/s
