[MONITOR] (0) t:   696.000 MB/s  l: 505864.375 us   (1) t:   648.000 MB/s  l: 6213846016.000 us   sch queue: 7   d0 queue: 64   r0 queue: 58   d1 queue: 0   r1 queue: 0   
[MONITOR] (0) t:   752.000 MB/s  l: 1353898.250 us   (1) t:   776.000 MB/s  l: 672501.250 us   sch queue: 1   d0 queue: 64   r0 queue: 61   d1 queue: 0   r1 queue: 0   
[MONITOR] (0) t:   768.000 MB/s  l: 1376029.000 us   (1) t:   768.000 MB/s  l: 708409.188 us   sch queue: 1   d0 queue: 64   r0 queue: 61   d1 queue: 0   r1 queue: 0   
[MONITOR] (0) t:   776.000 MB/s  l: 1349808.375 us   (1) t:   776.000 MB/s  l: 701224.250 us   sch queue: 1   d0 queue: 64   r0 queue: 61   d1 queue: 0   r1 queue: 0   
[MONITOR] (0) t:   776.000 MB/s  l: 1339452.375 us   (1) t:   784.000 MB/s  l: 697377.125 us   sch queue: 0   d0 queue: 64   r0 queue: 62   d1 queue: 0   r1 queue: 0   
[MONITOR] (0) t:   784.000 MB/s  l: 1337729.625 us   (1) t:   776.000 MB/s  l: 697458.125 us   sch queue: 1   d0 queue: 64   r0 queue: 61   d1 queue: 0   r1 queue: 0   
[MONITOR] (0) t:   776.000 MB/s  l: 1340880.625 us   (1) t:   776.000 MB/s  l: 699813.750 us   sch queue: 1   d0 queue: 64   r0 queue: 62   d1 queue: 0   r1 queue: 0   
[MONITOR] (0) t:   776.000 MB/s  l: 1338895.875 us   (1) t:   784.000 MB/s  l: 696935.188 us   sch queue: 0   d0 queue: 64   r0 queue: 62   d1 queue: 0   r1 queue: 0   
[MONITOR] (0) t:   776.000 MB/s  l: 1340729.875 us   (1) t:   768.000 MB/s  l: 701073.812 us   sch queue: 1   d0 queue: 64   r0 queue: 61   d1 queue: 0   r1 queue: 0   
[MONITOR] (0) t:   776.000 MB/s  l: 1345680.125 us   (1) t:   768.000 MB/s  l: 701234.000 us   sch queue: 2   d0 queue: 64   r0 queue: 61   d1 queue: 0   r1 queue: 0   
[MONITOR] (0) t:   768.000 MB/s  l: 1345506.375 us   (1) t:   784.000 MB/s  l: 701823.938 us   sch queue: 0   d0 queue: 64   r0 queue: 62   d1 queue: 0   r1 queue: 0   
[MONITOR] (0) t:   776.000 MB/s  l: 1345504.375 us   (1) t:   768.000 MB/s  l: 700930.188 us   sch queue: 0   d0 queue: 64   r0 queue: 62   d1 queue: 0   r1 queue: 0   
[MONITOR] (0) t:   776.000 MB/s  l: 1342816.750 us   (1) t:   776.000 MB/s  l: 700028.875 us   sch queue: 1   d0 queue: 64   r0 queue: 61   d1 queue: 0   r1 queue: 0   
[MONITOR] (0) t:   784.000 MB/s  l: 1340480.250 us   (1) t:   784.000 MB/s  l: 697761.562 us   sch queue: 1   d0 queue: 64   r0 queue: 61   d1 queue: 0   r1 queue: 0   
[MONITOR] (0) t:   768.000 MB/s  l: 1343607.125 us   (1) t:   768.000 MB/s  l: 703221.062 us   sch queue: 1   d0 queue: 64   r0 queue: 61   d1 queue: 0   r1 queue: 0   
[MONITOR] (0) t:   768.000 MB/s  l: 1350010.375 us   (1) t:   768.000 MB/s  l: 703108.250 us   sch queue: 0   d0 queue: 64   r0 queue: 62   d1 queue: 0   r1 queue: 0   
[MONITOR] (0) t:   768.000 MB/s  l: 1350457.375 us   (1) t:   776.000 MB/s  l: 704653.375 us   sch queue: 0   d0 queue: 64   r0 queue: 62   d1 queue: 0   r1 queue: 0   
[MONITOR] (0) t:   776.000 MB/s  l: 1351831.750 us   (1) t:   768.000 MB/s  l: 704767.500 us   sch queue: 1   d0 queue: 64   r0 queue: 62   d1 queue: 0   r1 queue: 0   
[MONITOR] (0) t:   768.000 MB/s  l: 1352301.250 us   (1) t:   768.000 MB/s  l: 704541.812 us   sch queue: 1   d0 queue: 64   r0 queue: 61   d1 queue: 0   r1 queue: 0   
[MONITOR] (0) t:   776.000 MB/s  l: 1350181.000 us   (1) t:   776.000 MB/s  l: 704218.562 us   sch queue: 0   d0 queue: 64   r0 queue: 62   d1 queue: 0   r1 queue: 0   
[MONITOR] (0) t:   760.000 MB/s  l: 1355907.500 us   (1) t:   768.000 MB/s  l: 708590.812 us   sch queue: 0   d0 queue: 64   r0 queue: 62   d1 queue: 0   r1 queue: 0   
[MONITOR] (0) t:   776.000 MB/s  l: 1351560.375 us   (1) t:   776.000 MB/s  l: 702185.562 us   sch queue: 0   d0 queue: 64   r0 queue: 62   d1 queue: 0   r1 queue: 0   
[MONITOR] (0) t:   776.000 MB/s  l: 1347268.750 us   (1) t:   768.000 MB/s  l: 702993.812 us   sch queue: 1   d0 queue: 64   r0 queue: 62   d1 queue: 0   r1 queue: 0   
[MONITOR] (0) t:   768.000 MB/s  l: 1350471.125 us   (1) t:   768.000 MB/s  l: 703781.688 us   sch queue: 0   d0 queue: 64   r0 queue: 62   d1 queue: 0   r1 queue: 0   
[MONITOR] (0) t:   784.000 MB/s  l: 1344223.750 us   (1) t:   784.000 MB/s  l: 699189.062 us   sch queue: 1   d0 queue: 64   r0 queue: 62   d1 queue: 0   r1 queue: 0   
[MONITOR] (0) t:   768.000 MB/s  l: 1339852.625 us   (1) t:   768.000 MB/s  l: 698569.062 us   sch queue: 0   d0 queue: 64   r0 queue: 62   d1 queue: 0   r1 queue: 0   
[MONITOR] (0) t:   776.000 MB/s  l: 1343909.625 us   (1) t:   776.000 MB/s  l: 701752.250 us   sch queue: 0   d0 queue: 64   r0 queue: 62   d1 queue: 0   r1 queue: 0   
[MONITOR] (0) t:   776.000 MB/s  l: 1344459.375 us   (1) t:   776.000 MB/s  l: 699900.688 us   sch queue: 0   d0 queue: 64   r0 queue: 62   d1 queue: 0   r1 queue: 0   
[MONITOR] (0) t:   768.000 MB/s  l: 1342623.125 us   (1) t:   768.000 MB/s  l: 700507.188 us   sch queue: 1   d0 queue: 64   r0 queue: 61   d1 queue: 0   r1 queue: 0   
[MONITOR] (0) t:   768.000 MB/s  l: 1353286.875 us   (1) t:   776.000 MB/s  l: 706905.562 us   sch queue: 0   d0 queue: 64   r0 queue: 62   d1 queue: 0   r1 queue: 0   
[MONITOR] (0) t:   776.000 MB/s  l: 1350423.625 us   (1) t:   768.000 MB/s  l: 703452.250 us   sch queue: 1   d0 queue: 64   r0 queue: 61   d1 queue: 0   r1 queue: 0   
[MONITOR] (0) t:   776.000 MB/s  l: 1345001.875 us   (1) t:   776.000 MB/s  l: 699460.438 us   sch queue: 1   d0 queue: 64   r0 queue: 61   d1 queue: 0   r1 queue: 0   
[MONITOR] (0) t:   768.000 MB/s  l: 1343809.875 us   (1) t:   776.000 MB/s  l: 701110.750 us   sch queue: 0   d0 queue: 64   r0 queue: 62   d1 queue: 0   r1 queue: 0   
[MONITOR] (0) t:   776.000 MB/s  l: 1342154.500 us   (1) t:   768.000 MB/s  l: 699462.000 us   sch queue: 0   d0 queue: 64   r0 queue: 62   d1 queue: 0   r1 queue: 0   
[MONITOR] (0) t:   776.000 MB/s  l: 1344950.125 us   (1) t:   776.000 MB/s  l: 701946.375 us   sch queue: 0   d0 queue: 64   r0 queue: 62   d1 queue: 0   r1 queue: 0   
[MONITOR] (0) t:   768.000 MB/s  l: 1350830.250 us   (1) t:   768.000 MB/s  l: 705431.688 us   sch queue: 1   d0 queue: 64   r0 queue: 61   d1 queue: 0   r1 queue: 0   
[MONITOR] (0) t:   768.000 MB/s  l: 1355050.500 us   (1) t:   768.000 MB/s  l: 706890.688 us   sch queue: 1   d0 queue: 64   r0 queue: 61   d1 queue: 0   r1 queue: 0   
[MONITOR] (0) t:   768.000 MB/s  l: 1355600.250 us   (1) t:   768.000 MB/s  l: 705868.062 us   sch queue: 0   d0 queue: 64   r0 queue: 62   d1 queue: 0   r1 queue: 0   
[MONITOR] (0) t:   776.000 MB/s  l: 1351348.375 us   (1) t:   776.000 MB/s  l: 704094.875 us   sch queue: 1   d0 queue: 64   r0 queue: 62   d1 queue: 0   r1 queue: 0   
[MONITOR] (0) t:   768.000 MB/s  l: 1349955.125 us   (1) t:   768.000 MB/s  l: 703871.500 us   sch queue: 1   d0 queue: 64   r0 queue: 61   d1 queue: 0   r1 queue: 0   
[MONITOR] (0) t:   768.000 MB/s  l: 1352231.375 us   (1) t:   768.000 MB/s  l: 705261.312 us   sch queue: 0   d0 queue: 64   r0 queue: 62   d1 queue: 0   r1 queue: 0   
[MONITOR] (0) t:   768.000 MB/s  l: 1350713.875 us   (1) t:   776.000 MB/s  l: 703914.562 us   sch queue: 0   d0 queue: 64   r0 queue: 62   d1 queue: 0   r1 queue: 0   
[MONITOR] (0) t:   776.000 MB/s  l: 1348016.500 us   (1) t:   760.000 MB/s  l: 701705.750 us   sch queue: 2   d0 queue: 64   r0 queue: 61   d1 queue: 0   r1 queue: 0   
[MONITOR] (0) t:   768.000 MB/s  l: 1352689.875 us   (1) t:   776.000 MB/s  l: 707126.938 us   sch queue: 0   d0 queue: 64   r0 queue: 62   d1 queue: 0   r1 queue: 0   
[MONITOR] (0) t:   768.000 MB/s  l: 1354662.500 us   (1) t:   768.000 MB/s  l: 706021.438 us   sch queue: 0   d0 queue: 64   r0 queue: 62   d1 queue: 0   r1 queue: 0
