[MON] S000   1438.561 MB/s output   1233.454 MB/s [null] S001   1198.801 MB/s output      4.799 MB/s [null] q     51 t     54 w     58 b      9 p      8 policy [[0][0]=    1 [0][1]=    1 [1][0]=    1 [1][1]=    1]
[MON] S000   1339.980 MB/s output   1148.928 MB/s [null] S001   1148.554 MB/s output      4.598 MB/s [null] q     52 t     54 w     58 b      9 p      8 policy [[0][0]=    0 [0][1]=    0 [1][0]=  221 [1][1]=  162]
[MON] S000   1540.918 MB/s output   1321.217 MB/s [null] S001   1325.349 MB/s output      5.306 MB/s [null] q     51 t     54 w     58 b      9 p      8 policy [[0][0]=    0 [0][1]=    0 [1][0]=  167 [1][1]=  143]
[MON] S000   1550.450 MB/s output   1329.389 MB/s [null] S001   1318.681 MB/s output      5.279 MB/s [null] q     52 t     54 w     58 b      9 p      8 policy [[0][0]=    0 [0][1]=    0 [1][0]=  192 [1][1]=  165]
[MON] S000   1542.458 MB/s output   1322.537 MB/s [null] S001   1326.673 MB/s output      5.311 MB/s [null] q     51 t     54 w     58 b      9 p      8 policy [[0][0]=    0 [0][1]=    0 [1][0]=  193 [1][1]=  166]
[MON] S000   1542.458 MB/s output   1322.537 MB/s [null] S001   1326.673 MB/s output      5.311 MB/s [null] q     52 t     54 w     58 b      9 p      8 policy [[0][0]=    0 [0][1]=    0 [1][0]=  193 [1][1]=  166]
[MON] S000   1542.458 MB/s output   1322.537 MB/s [null] S001   1318.681 MB/s output      5.279 MB/s [null] q     51 t     54 w     58 b      9 p      8 policy [[0][0]=    0 [0][1]=    0 [1][0]=  194 [1][1]=  165]
[MON] S000   1548.902 MB/s output   1328.063 MB/s [null] S001   1333.333 MB/s output      5.338 MB/s [null] q     52 t     54 w     58 b      9 p      8 policy [[0][0]=    0 [0][1]=    0 [1][0]=  192 [1][1]=  165]
[MON] S000   1550.450 MB/s output   1329.389 MB/s [null] S001   1326.673 MB/s output      5.311 MB/s [null] q     52 t     54 w     58 b      9 p      8 policy [[0][0]=    0 [0][1]=    0 [1][0]=  194 [1][1]=  167]
[MON] S000   1558.442 MB/s output   1336.242 MB/s [null] S001   1326.673 MB/s output      5.311 MB/s [null] q     52 t     54 w     58 b      9 p      8 policy [[0][0]=    0 [0][1]=    0 [1][0]=  194 [1][1]=  166]
[MON] S000   1382.617 MB/s output   1185.486 MB/s [null] S001   1190.809 MB/s output      4.767 MB/s [null] q     51 t     54 w     58 b      9 p      8 policy [[0][0]=    0 [0][1]=    0 [1][0]=  193 [1][1]=  165]
[MON] S000   1494.505 MB/s output   1281.422 MB/s [null] S001   1286.713 MB/s output      5.151 MB/s [null] q     52 t     54 w     58 b      9 p      8 policy [[0][0]=    0 [0][1]=    0 [1][0]=  173 [1][1]=  149]
[MON] S000   1550.450 MB/s output   1329.389 MB/s [null] S001   1326.673 MB/s output      5.311 MB/s [null] q     52 t     54 w     58 b      9 p      8 policy [[0][0]=    0 [0][1]=    0 [1][0]=  187 [1][1]=  160]
[MON] S000   1558.442 MB/s output   1336.242 MB/s [null] S001   1334.665 MB/s output      5.343 MB/s [null] q     51 t     54 w     58 b      9 p      8 policy [[0][0]=    0 [0][1]=    0 [1][0]=  194 [1][1]=  167]
[MON] S000   1552.000 MB/s output   1330.719 MB/s [null] S001   1336.000 MB/s output      5.349 MB/s [null] q     52 t     54 w     58 b      9 p      8 policy [[0][0]=    0 [0][1]=    0 [1][0]=  195 [1][1]=  166]
[MON] S000   1550.450 MB/s output   1329.389 MB/s [null] S001   1326.673 MB/s output      5.311 MB/s [null] q     52 t     54 w     58 b      9 p      8 policy [[0][0]=    0 [0][1]=    0 [1][0]=  193 [1][1]=  166]
[MON] S000   1558.442 MB/s output   1336.242 MB/s [null] S001   1334.665 MB/s output      5.343 MB/s [null] q     51 t     54 w     58 b      9 p      8 policy [[0][0]=    0 [0][1]=    0 [1][0]=  193 [1][1]=  165]
