[MON] S000    790.419 MB/s output    677.723 MB/s [null] S001    582.834 MB/s output      1.322 MB/s [null] q     57 t     58 w     58 b      9 p      8 policy [[0][0]=    1 [0][1]=    1 [1][0]=    1 [1][1]=    1]
[MON] S000    869.392 MB/s output    745.436 MB/s [null] S001    757.727 MB/s output      1.475 MB/s [null] q     55 t     58 w     58 b      9 p      8 policy [[0][0]=    0 [0][1]=    0 [1][0]=  125 [1][1]=   81]
[MON] S000    998.004 MB/s output    855.710 MB/s [null] S001    854.291 MB/s output      1.654 MB/s [null] q     55 t     58 w     58 b      9 p      8 policy [[0][0]=    0 [0][1]=    0 [1][0]=  109 [1][1]=   93]
[MON] S000   1038.961 MB/s output    890.828 MB/s [null] S001    879.121 MB/s output      1.835 MB/s [null] q     57 t     58 w     58 b      9 p      8 policy [[0][0]=    0 [0][1]=    0 [1][0]=  124 [1][1]=  107]
[MON] S000   1022.977 MB/s output    877.123 MB/s [null] S001    887.113 MB/s output      2.003 MB/s [null] q     56 t     58 w     58 b      9 p      8 policy [[0][0]=    0 [0][1]=    0 [1][0]=  130 [1][1]=  110]
[MON] S000   1038.961 MB/s output    890.828 MB/s [null] S001    887.113 MB/s output      1.756 MB/s [null] q     55 t     58 w     58 b      9 p      8 policy [[0][0]=    0 [0][1]=    0 [1][0]=  128 [1][1]=  111]
[MON] S000   1029.940 MB/s output    883.093 MB/s [null] S001    886.228 MB/s output      1.707 MB/s [null] q     56 t     58 w     58 b      9 p      8 policy [[0][0]=    0 [0][1]=    0 [1][0]=  130 [1][1]=  110]
[MON] S000   1038.961 MB/s output    890.828 MB/s [null] S001    887.113 MB/s output      1.877 MB/s [null] q     55 t     58 w     58 b      9 p      8 policy [[0][0]=    0 [0][1]=    0 [1][0]=  129 [1][1]=  112]
[MON] S000   1030.969 MB/s output    883.975 MB/s [null] S001    887.113 MB/s output      1.992 MB/s [null] q     56 t     58 w     58 b      9 p      8 policy [[0][0]=    0 [0][1]=    0 [1][0]=  129 [1][1]=  109]
[MON] S000   1029.940 MB/s output    883.093 MB/s [null] S001    886.228 MB/s output      1.746 MB/s [null] q     55 t     58 w     58 b      9 p      8 policy [[0][0]=    0 [0][1]=    0 [1][0]=  128 [1][1]=  110]
[MON] S000   1038.961 MB/s output    890.828 MB/s [null] S001    887.113 MB/s output      1.700 MB/s [null] q     56 t     58 w     58 b      9 p      8 policy [[0][0]=    0 [0][1]=    0 [1][0]=  128 [1][1]=  110]
