[MON] S000   1732.535 MB/s output   1485.513 MB/s [null] S001   1485.030 MB/s output      3.043 MB/s [null] q     55 t     59 w     59 b     18 p     16 policy [[0][0]=    1 [0][1]=    1 [1][0]=    1 [1][1]=    1]
[MON] S000   1698.903 MB/s output   1456.677 MB/s [null] S001   1451.645 MB/s output      2.947 MB/s [null] q     55 t     59 w     59 b     19 p     16 policy [[0][0]=    0 [0][1]=    0 [1][0]=  261 [1][1]=  197]
[MON] S000   1892.216 MB/s output   1622.427 MB/s [null] S001   1620.758 MB/s output      3.498 MB/s [null] q     55 t     59 w     59 b     19 p     16 policy [[0][0]=    0 [0][1]=    0 [1][0]=  211 [1][1]=  181]
[MON] S000   1894.106 MB/s output   1624.048 MB/s [null] S001   1622.378 MB/s output      3.160 MB/s [null] q     55 t     59 w     59 b     19 p     16 policy [[0][0]=    0 [0][1]=    0 [1][0]=  236 [1][1]=  202]
[MON] S000   1894.106 MB/s output   1624.048 MB/s [null] S001   1630.370 MB/s output      3.638 MB/s [null] q     55 t     59 w     59 b     19 p     16 policy [[0][0]=    0 [0][1]=    0 [1][0]=  238 [1][1]=  204]
[MON] S000   1898.305 MB/s output   1627.648 MB/s [null] S001   1619.143 MB/s output      3.093 MB/s [null] q     55 t     59 w     59 b     19 p     16 policy [[0][0]=    0 [0][1]=    0 [1][0]=  236 [1][1]=  203]
[MON] S000   1710.290 MB/s output   1466.440 MB/s [null] S001   1470.529 MB/s output      3.224 MB/s [null] q     55 t     59 w     59 b     19 p     16 policy [[0][0]=    0 [0][1]=    0 [1][0]=  237 [1][1]=  203]
[MON] S000   1822.178 MB/s output   1562.375 MB/s [null] S001   1566.434 MB/s output      3.066 MB/s [null] q     55 t     59 w     59 b     19 p     16 policy [[0][0]=    0 [0][1]=    0 [1][0]=  226 [1][1]=  194]
[MON] S000   1894.106 MB/s output   1624.048 MB/s [null] S001   1622.378 MB/s output      3.454 MB/s [null] q     55 t     59 w     59 b     19 p     16 policy [[0][0]=    0 [0][1]=    0 [1][0]=  237 [1][1]=  203]
[MON] S000   1902.098 MB/s output   1630.900 MB/s [null] S001   1630.370 MB/s output      3.308 MB/s [null] q     55 t     59 w     59 b     19 p     16 policy [[0][0]=    0 [0][1]=    0 [1][0]=  238 [1][1]=  204]
[MON] S000   1902.098 MB/s output   1630.900 MB/s [null] S001   1630.370 MB/s output      3.389 MB/s [null] q     54 t     59 w     59 b     19 p     16 policy [[0][0]=    0 [0][1]=    0 [1][0]=  237 [1][1]=  203]
[MON] S000   1902.098 MB/s output   1630.900 MB/s [null] S001   1630.370 MB/s output      3.387 MB/s [null] q     54 t     59 w     59 b     19 p     16 policy [[0][0]=    0 [0][1]=    0 [1][0]=  238 [1][1]=  204]
[MON] S000   1902.098 MB/s output   1630.900 MB/s [null] S001   1630.370 MB/s output      3.312 MB/s [null] q     54 t     59 w     59 b     19 p     16 policy [[0][0]=    0 [0][1]=    0 [1][0]=  238 [1][1]=  204]
[MON] S000   1902.098 MB/s output   1630.900 MB/s [null] S001   1630.370 MB/s output      3.470 MB/s [null] q     55 t     59 w     59 b     19 p     16 policy [[0][0]=    0 [0][1]=    0 [1][0]=  237 [1][1]=  204]
[MON] S000   1884.232 MB/s output   1615.581 MB/s [null] S001   1620.758 MB/s output      3.201 MB/s [null] q     55 t     59 w     59 b     19 p     16 policy [[0][0]=    0 [0][1]=    0 [1][0]=  237 [1][1]=  202]
[MON] S000   1710.290 MB/s output   1466.440 MB/s [null] S001   1462.537 MB/s output      3.298 MB/s [null] q     55 t     59 w     59 b     19 p     16 policy [[0][0]=    0 [0][1]=    0 [1][0]=  211 [1][1]=  182]
[MON] S000   1830.170 MB/s output   1569.228 MB/s [null] S001   1566.434 MB/s output      2.947 MB/s [null] q     55 t     59 w     59 b     19 p     16 policy [[0][0]=    0 [0][1]=    0 [1][0]=  229 [1][1]=  195]
[MON] S000   1894.106 MB/s output   1624.048 MB/s [null] S001   1630.370 MB/s output      3.575 MB/s [null] q     55 t     59 w     59 b     19 p     16 policy [[0][0]=    0 [0][1]=    0 [1][0]=  237 [1][1]=  204]
[MON] S000   1912.000 MB/s output   1639.391 MB/s [null] S001   1632.000 MB/s output      3.190 MB/s [null] q     55 t     59 w     59 b     19 p     16 policy [[0][0]=    0 [0][1]=    0 [1][0]=  238 [1][1]=  204]
[MON] S000   1894.106 MB/s output   1624.048 MB/s [null] S001   1630.370 MB/s output      3.505 MB/s [null] q     55 t     59 w     59 b     19 p     16 policy [[0][0]=    0 [0][1]=    0 [1][0]=  238 [1][1]=  204]
[MON] S000   1910.090 MB/s output   1637.753 MB/s [null] S001   1630.370 MB/s output      3.263 MB/s [null] q     55 t     59 w     59 b     19 p     16 policy [[0][0]=    0 [0][1]=    0 [1][0]=  238 [1][1]=  204]
[MON] S000   1902.098 MB/s output   1630.900 MB/s [null] S001   1630.370 MB/s output      3.434 MB/s [null] q     55 t     59 w     59 b     19 p     16 policy [[0][0]=    0 [0][1]=    0 [1][0]=  238 [1][1]=  204]
[MON] S000   1904.000 MB/s output   1632.531 MB/s [null] S001   1640.000 MB/s output      3.356 MB/s [null] q     54 t     59 w     59 b     19 p     16 policy [[0][0]=    0 [0][1]=    0 [1][0]=  238 [1][1]=  204]
[MON] S000   1902.098 MB/s output   1630.900 MB/s [null] S001   1630.370 MB/s output      3.361 MB/s [null] q     55 t     59 w     59 b     19 p     16 policy [[0][0]=    0 [0][1]=    0 [1][0]=  236 [1][1]=  202]
[MON] S000   1902.098 MB/s output   1630.900 MB/s [null] S001   1630.370 MB/s output      3.423 MB/s [null] q     55 t     59 w     59 b     19 p     16 policy [[0][0]=    0 [0][1]=    0 [1][0]=  238 [1][1]=  204]
[MON] S000   1910.090 MB/s output   1637.753 MB/s [null] S001   1638.362 MB/s output      3.300 MB/s [null] q     54 t     59 w     59 b     19 p     16 policy [[0][0]=    0 [0][1]=    0 [1][0]=  239 [1][1]=  205]
[MON] S000   1904.000 MB/s output   1632.531 MB/s [null] S001   1632.000 MB/s output      3.512 MB/s [null] q     54 t     59 w     59 b     19 p     16 policy [[0][0]=    0 [0][1]=    0 [1][0]=  238 [1][1]=  204]
[MON] S000   1902.098 MB/s output   1630.900 MB/s [null] S001   1630.370 MB/s output      3.210 MB/s [null] q     55 t     59 w     59 b     19 p     16 policy [[0][0]=    0 [0][1]=    0 [1][0]=  238 [1][1]=  204]
[MON] S000   1904.000 MB/s output   1632.531 MB/s [null] S001   1632.000 MB/s output      3.598 MB/s [null] q     56 t     59 w     59 b     19 p     16 policy [[0][0]=    0 [0][1]=    0 [1][0]=  238 [1][1]=  204]
[MON] S000   1910.090 MB/s output   1637.753 MB/s [null] S001   1638.362 MB/s output      3.150 MB/s [null] q     55 t     59 w     59 b     19 p     16 policy [[0][0]=    0 [0][1]=    0 [1][0]=  239 [1][1]=  205]
[MON] S000   1910.090 MB/s output   1637.753 MB/s [null] S001   1630.370 MB/s output      3.622 MB/s [null] q     54 t     59 w     59 b     19 p     16 policy [[0][0]=    0 [0][1]=    0 [1][0]=  238 [1][1]=  204]
[MON] S000   1904.000 MB/s output   1632.531 MB/s [null] S001   1640.000 MB/s output      3.138 MB/s [null] q     54 t     59 w     59 b     19 p     16 policy [[0][0]=    0 [0][1]=    0 [1][0]=  238 [1][1]=  204]
[MON] S000   1814.186 MB/s output   1555.523 MB/s [null] S001   1550.450 MB/s output      3.359 MB/s [null] q     55 t     59 w     59 b     19 p     16 policy [[0][0]=    0 [0][1]=    0 [1][0]=  225 [1][1]=  194]
[MON] S000   1808.000 MB/s output   1550.219 MB/s [null] S001   1552.000 MB/s output      3.056 MB/s [null] q     56 t     59 w     59 b     19 p     16 policy [[0][0]=    0 [0][1]=    0 [1][0]=  226 [1][1]=  193]
[MON] S000   1870.130 MB/s output   1603.490 MB/s [null] S001   1606.394 MB/s output      3.410 MB/s [null] q     54 t     59 w     59 b     19 p     16 policy [[0][0]=    0 [0][1]=    0 [1][0]=  234 [1][1]=  200]
[MON] S000   1864.000 MB/s output   1598.234 MB/s [null] S001   1600.000 MB/s output      3.280 MB/s [null] q     54 t     59 w     59 b     19 p     16 policy [[0][0]=    0 [0][1]=    0 [1][0]=  233 [1][1]=  200]
[MON] S000   1902.098 MB/s output   1630.900 MB/s [null] S001   1630.370 MB/s output      3.347 MB/s [null] q     55 t     59 w     59 b     19 p     16 policy [[0][0]=    0 [0][1]=    0 [1][0]=  238 [1][1]=  204]
[MON] S000   1904.000 MB/s output   1632.531 MB/s [null] S001   1632.000 MB/s output      3.444 MB/s [null] q     55 t     59 w     59 b     19 p     16 policy [[0][0]=    0 [0][1]=    0 [1][0]=  238 [1][1]=  204]
[MON] S000   1910.090 MB/s output   1637.753 MB/s [null] S001   1638.362 MB/s output      3.285 MB/s [null] q     54 t     59 w     59 b     19 p     16 policy [[0][0]=    0 [0][1]=    0 [1][0]=  238 [1][1]=  205]
[MON] S000   1904.000 MB/s output   1632.531 MB/s [null] S001   1632.000 MB/s output      3.529 MB/s [null] q     55 t     59 w     59 b     19 p     16 policy [[0][0]=    0 [0][1]=    0 [1][0]=  239 [1][1]=  204]
[MON] S000   1910.090 MB/s output   1637.753 MB/s [null] S001   1638.362 MB/s output      3.210 MB/s [null] q     54 t     59 w     59 b     19 p     16 policy [[0][0]=    0 [0][1]=    0 [1][0]=  238 [1][1]=  204]
[MON] S000   1904.000 MB/s output   1632.531 MB/s [null] S001   1632.000 MB/s output      3.618 MB/s [null] q     55 t     59 w     59 b     19 p     16 policy [[0][0]=    0 [0][1]=    0 [1][0]=  238 [1][1]=  205]
