[MON] S000   3137.725 MB/s output   2690.354 MB/s [null] S001   2714.571 MB/s output      8.399 MB/s [null] q     15 t     49 w     49 b     44 p     40 policy [[0][0]=    0 [0][1]=    0 [1][0]=  411 [1][1]=  341]
[MON] S000   3008.955 MB/s output   2579.944 MB/s [null] S001   2610.945 MB/s output      5.438 MB/s [null] q      4 t     49 w     49 b     71 p     40 policy [[0][0]=    0 [0][1]=    0 [1][0]=  382 [1][1]=  322]
[MON] S000   3324.675 MB/s output   2850.649 MB/s [null] S001   2869.131 MB/s output      6.045 MB/s [null] q      0 t     49 w     49 b     71 p     40 policy [[0][0]=    0 [0][1]=    0 [1][0]=  404 [1][1]=  360]
[MON] S000   3265.469 MB/s output   2799.885 MB/s [null] S001   2802.395 MB/s output      5.829 MB/s [null] q      0 t     49 w     49 b     71 p     40 policy [[0][0]=    0 [0][1]=    0 [1][0]=  409 [1][1]=  350]
[MON] S000   3276.723 MB/s output   2809.534 MB/s [null] S001   2813.187 MB/s output      5.681 MB/s [null] q      0 t     49 w     49 b     71 p     40 policy [[0][0]=    0 [0][1]=    0 [1][0]=  410 [1][1]=  352]
[MON] S000   3260.739 MB/s output   2795.829 MB/s [null] S001   2797.203 MB/s output      5.718 MB/s [null] q      0 t     49 w     49 b     71 p     40 policy [[0][0]=    0 [0][1]=    0 [1][0]=  407 [1][1]=  349]
[MON] S000   3257.485 MB/s output   2793.039 MB/s [null] S001   2786.427 MB/s output      5.792 MB/s [null] q      0 t     49 w     49 b     71 p     40 policy [[0][0]=    0 [0][1]=    0 [1][0]=  407 [1][1]=  349]
[MON] S000   3017.964 MB/s output   2587.668 MB/s [null] S001   2554.890 MB/s output      5.473 MB/s [null] q      7 t     49 w     49 b     71 p     40 policy [[0][0]=    0 [0][1]=    0 [1][0]=  390 [1][1]=  320]
[MON] S000   3324.675 MB/s output   2850.649 MB/s [null] S001   2885.115 MB/s output      5.879 MB/s [null] q      0 t     49 w     49 b     71 p     40 policy [[0][0]=    0 [0][1]=    0 [1][0]=  398 [1][1]=  355]
[MON] S000   3268.731 MB/s output   2802.682 MB/s [null] S001   2797.203 MB/s output      5.644 MB/s [null] q      0 t     49 w     49 b     71 p     40 policy [[0][0]=    0 [0][1]=    0 [1][0]=  409 [1][1]=  350]
[MON] S000   3268.731 MB/s output   2802.682 MB/s [null] S001   2805.195 MB/s output      5.781 MB/s [null] q      0 t     49 w     49 b     71 p     40 policy [[0][0]=    0 [0][1]=    0 [1][0]=  409 [1][1]=  350]
[MON] S000   3260.739 MB/s output   2795.829 MB/s [null] S001   2805.195 MB/s output      5.856 MB/s [null] q      0 t     49 w     49 b     71 p     40 policy [[0][0]=    0 [0][1]=    0 [1][0]=  407 [1][1]=  350]
[MON] S000   3265.469 MB/s output   2799.885 MB/s [null] S001   2794.411 MB/s output      5.921 MB/s [null] q      0 t     49 w     49 b     71 p     40 policy [[0][0]=    0 [0][1]=    0 [1][0]=  409 [1][1]=  351]
[MON] S000   3268.731 MB/s output   2802.682 MB/s [null] S001   2805.195 MB/s output      5.741 MB/s [null] q      0 t     49 w     49 b     71 p     40 policy [[0][0]=    0 [0][1]=    0 [1][0]=  408 [1][1]=  350]
[MON] S000   3268.731 MB/s output   2802.682 MB/s [null] S001   2805.195 MB/s output      5.679 MB/s [null] q      0 t     49 w     49 b     71 p     40 policy [[0][0]=    0 [0][1]=    0 [1][0]=  404 [1][1]=  344]
[MON] S000   3257.485 MB/s output   2793.039 MB/s [null] S001   2786.427 MB/s output      5.723 MB/s [null] q      0 t     49 w     49 b     71 p     40 policy [[0][0]=    0 [0][1]=    0 [1][0]=  408 [1][1]=  350]
[MON] S000   3088.000 MB/s output   2647.719 MB/s [null] S001   2624.000 MB/s output      5.508 MB/s [null] q      5 t     49 w     49 b     71 p     40 policy [[0][0]=    0 [0][1]=    0 [1][0]=  390 [1][1]=  327]
[MON] S000   3284.715 MB/s output   2816.387 MB/s [null] S001   2845.155 MB/s output      6.059 MB/s [null] q      0 t     49 w     49 b     71 p     40 policy [[0][0]=    0 [0][1]=    0 [1][0]=  406 [1][1]=  357]
[MON] S000   3268.731 MB/s output   2802.682 MB/s [null] S001   2805.195 MB/s output      5.638 MB/s [null] q      0 t     49 w     49 b     71 p     40 policy [[0][0]=    0 [0][1]=    0 [1][0]=  409 [1][1]=  350]
[MON] S000   3268.731 MB/s output   2802.682 MB/s [null] S001   2797.203 MB/s output      5.664 MB/s [null] q      0 t     49 w     49 b     71 p     40 policy [[0][0]=    0 [0][1]=    0 [1][0]=  408 [1][1]=  350]
[MON] S000   3268.731 MB/s output   2802.682 MB/s [null] S001   2805.195 MB/s output      5.807 MB/s [null] q      0 t     49 w     49 b     71 p     40 policy [[0][0]=    0 [0][1]=    0 [1][0]=  409 [1][1]=  351]
[MON] S000   3272.000 MB/s output   2805.484 MB/s [null] S001   2808.000 MB/s output      5.887 MB/s [null] q      0 t     49 w     49 b     71 p     40 policy [[0][0]=    0 [0][1]=    0 [1][0]=  404 [1][1]=  346]
[MON] S000   3265.469 MB/s output   2799.885 MB/s [null] S001   2794.411 MB/s output      5.950 MB/s [null] q      0 t     49 w     49 b     71 p     40 policy [[0][0]=    0 [0][1]=    0 [1][0]=  409 [1][1]=  349]
[MON] S000   3272.000 MB/s output   2805.484 MB/s [null] S001   2808.000 MB/s output      5.647 MB/s [null] q      0 t     49 w     49 b     71 p     40 policy [[0][0]=    0 [0][1]=    0 [1][0]=  408 [1][1]=  351]
[MON] S000   3268.731 MB/s output   2802.682 MB/s [null] S001   2805.195 MB/s output      5.699 MB/s [null] q      0 t     49 w     49 b     71 p     40 policy [[0][0]=    0 [0][1]=    0 [1][0]=  409 [1][1]=  351]
[MON] S000   3268.731 MB/s output   2802.682 MB/s [null] S001   2797.203 MB/s output      5.763 MB/s [null] q      0 t     49 w     49 b     71 p     40 policy [[0][0]=    0 [0][1]=    0 [1][0]=  408 [1][1]=  350]
[MON] S000   3268.731 MB/s output   2802.682 MB/s [null] S001   2797.203 MB/s output      5.855 MB/s [null] q      0 t     49 w     49 b     71 p     40 policy [[0][0]=    0 [0][1]=    0 [1][0]=  404 [1][1]=  344]
[MON] S000   3036.963 MB/s output   2603.959 MB/s [null] S001   2613.387 MB/s output      5.552 MB/s [null] q      0 t     49 w     49 b     71 p     40 policy [[0][0]=    0 [0][1]=    0 [1][0]=  395 [1][1]=  326]
[MON] S000   3336.000 MB/s output   2860.359 MB/s [null] S001   2848.000 MB/s output      5.740 MB/s [null] q      0 t     49 w     49 b     71 p     40 policy [[0][0]=    0 [0][1]=    0 [1][0]=  402 [1][1]=  358]
[MON] S000   3268.731 MB/s output   2802.682 MB/s [null] S001   2813.187 MB/s output      5.726 MB/s [null] q      0 t     49 w     49 b     71 p     40 policy [[0][0]=    0 [0][1]=    0 [1][0]=  409 [1][1]=  350]
[MON] S000   3268.731 MB/s output   2802.682 MB/s [null] S001   2805.195 MB/s output      5.822 MB/s [null] q      0 t     49 w     49 b     71 p     40 policy [[0][0]=    0 [0][1]=    0 [1][0]=  408 [1][1]=  351]
[MON] S000   3280.000 MB/s output   2812.344 MB/s [null] S001   2800.000 MB/s output      5.893 MB/s [null] q      0 t     49 w     49 b     71 p     40 policy [[0][0]=    0 [0][1]=    0 [1][0]=  409 [1][1]=  351]
[MON] S000   3268.731 MB/s output   2802.682 MB/s [null] S001   2805.195 MB/s output      5.891 MB/s [null] q      0 t     49 w     49 b     71 p     40 policy [[0][0]=    0 [0][1]=    0 [1][0]=  409 [1][1]=  351]
[MON] S000   3272.000 MB/s output   2805.484 MB/s [null] S001   2808.000 MB/s output      5.660 MB/s [null] q      0 t     49 w     49 b     71 p     40 policy [[0][0]=    0 [0][1]=    0 [1][0]=  409 [1][1]=  350]
[MON] S000   3260.739 MB/s output   2795.829 MB/s [null] S001   2797.203 MB/s output      5.699 MB/s [null] q      0 t     49 w     49 b     71 p     40 policy [[0][0]=    0 [0][1]=    0 [1][0]=  409 [1][1]=  350]
[MON] S000   3268.731 MB/s output   2802.682 MB/s [null] S001   2805.195 MB/s output      5.792 MB/s [null] q      0 t     49 w     49 b     71 p     40 policy [[0][0]=    0 [0][1]=    0 [1][0]=  403 [1][1]=  346]
[MON] S000   3268.731 MB/s output   2802.682 MB/s [null] S001   2805.195 MB/s output      5.930 MB/s [null] q      0 t     49 w     49 b     71 p     40 policy [[0][0]=    0 [0][1]=    0 [1][0]=  409 [1][1]=  350]
[MON] S000   3272.000 MB/s output   2805.484 MB/s [null] S001   2808.000 MB/s output      5.890 MB/s [null] q      0 t     49 w     49 b     71 p     40 policy [[0][0]=    0 [0][1]=    0 [1][0]=  409 [1][1]=  350]
[MON] S000   3268.731 MB/s output   2802.682 MB/s [null] S001   2789.211 MB/s output      5.609 MB/s [null] q      0 t     49 w     49 b     71 p     40 policy [[0][0]=    0 [0][1]=    0 [1][0]=  408 [1][1]=  351]
[MON] S000   3268.731 MB/s output   2802.682 MB/s [null] S001   2813.187 MB/s output      5.747 MB/s [null] q      0 t     49 w     49 b     71 p     40 policy [[0][0]=    0 [0][1]=    0 [1][0]=  409 [1][1]=  351]
[MON] S000   3272.000 MB/s output   2805.484 MB/s [null] S001   2800.000 MB/s output      5.810 MB/s [null] q      0 t     49 w     49 b     71 p     40 policy [[0][0]=    0 [0][1]=    0 [1][0]=  409 [1][1]=  350]
[MON] S000   3268.731 MB/s output   2802.682 MB/s [null] S001   2797.203 MB/s output      5.894 MB/s [null] q      0 t     49 w     49 b     71 p     40 policy [[0][0]=    0 [0][1]=    0 [1][0]=  408 [1][1]=  350]
[MON] S000   3272.000 MB/s output   2805.484 MB/s [null] S001   2808.000 MB/s output      5.872 MB/s [null] q      0 t     49 w     49 b     71 p     40 policy [[0][0]=    0 [0][1]=    0 [1][0]=  409 [1][1]=  351]
[MON] S000   3260.739 MB/s output   2795.829 MB/s [null] S001   2805.195 MB/s output      5.660 MB/s [null] q      0 t     49 w     49 b     71 p     40 policy [[0][0]=    0 [0][1]=    0 [1][0]=  403 [1][1]=  345]
[MON] S000   3156.843 MB/s output   2706.746 MB/s [null] S001   2701.299 MB/s output      5.505 MB/s [null] q      0 t     49 w     49 b     71 p     40 policy [[0][0]=    0 [0][1]=    0 [1][0]=  395 [1][1]=  338]
